"Povpreène drobnoprodajne cene izdelkov in storitev, Slovenija, letno"

"IZDELKI IN STORITVE";"Povpreèna drobnoprodajna cena (EUR) 2018";"Povpreèna drobnoprodajna cena (EUR) 2019";"Povpreèna drobnoprodajna cena (EUR) 2020";"Povpreèna drobnoprodajna cena (EUR) 2021";"Povpreèna drobnoprodajna cena (EUR) 2022"
"...Razvijanje digitalnih fotografij, 10 x 13 oz. 10 x 15 cm, 30 kosov (storitev)";5.24;5.19;5.15;5.18;5.45
"09.5 ÈASOPISI, KNJIGE IN PISALNE POTREBŠÈINE";-;-;-;-;-
"...Berilo za 4. razred devetletke (kos)";17.40;17.32;16.42;16.41;16.61
"...Žepni slovar, ang-slo-ang (kos)";30.00;30.06;29.84;30.02;30.01
"...Dnevni èasopis (kos)";1.46;1.52;1.56;1.63;1.77
"...Tedenski èasopis (kos)";1.95;1.95;1.95;1.95;2.18
"...Šolski zvezek, format A4, 50 listov (kos)";1.83;1.83;1.71;1.70;1.98
"...Navaden svinènik (kos)";0.70;0.72;0.75;0.94;1.04
"10 IZOBRAŽEVANJE";-;-;-;-;-
"...Teèaj tujega jezika, splošni program, 40 - 60 ur, storitev (oseba)";366.18;384.44;385.82;389.52;387.85
"11.1 GOSTINSKE STORITVE";-;-;-;-;-
"...Testenine z omako (porcija)";7.54;8.05;8.25;8.59;9.45
"...Meni, kosilo (porcija)";9.40;9.62;10.15;10.47;11.76
"...Pica, velika (porcija)";7.12;7.46;7.75;8.31;9.40
"...Solata, zelena ali mešana (porcija)";2.86;3.02;3.09;3.15;3.50
"...Sladoled s smetano (porcija)";4.49;4.69;4.91;5.10;5.49
"...Palaèinke, èokoladne ali marmeladne, 2 kosa (porcija)";3.36;3.58;3.60;3.67;4.14
"...Pivo, v steklenici ali toèeno, svetlo (0,5 l)";2.79;2.89;2.93;2.98;3.22
"...Coca-Cola (2,5 dl)";1.95;2.02;2.05;2.15;2.34
"...Èrna kava, espresso (skodelica)";1.21;1.26;1.29;1.33;1.48
"...Kakovostno vino (l)";13.62;15.23;15.77;16.07;17.64
"...Mešana zelenjava (porcija)";2.69;2.74;2.76;2.90;3.28
"11.2 NASTANITVENE STORITVE";-;-;-;-;-
"...Noèitev v hotelu, enoposteljna soba, zajtrk in turistièna taksa (noèitev)";105.84;110.83;105.94;110.25;119.84
"...Noèitev v hotelu, dvoposteljna soba, zajtrk in turistièna taksa (noèitev)";160.79;163.23;149.53;157.47;169.75
"12.1 OSEBNA NEGA";-;-;-;-;-
"...Moško striženje (storitev)";15.07;15.58;16.12;16.85;17.82
"...Žensko striženje, fen frizura, 3 dodatki (storitev)";31.67;32.57;33.55;34.28;35.73
"...Brivnik za moške, 3 vrteèe brivne glave ali sistem 3 mrežic (kos)";104.91;108.51;92.03;82.41;82.88
"...Zobna šèetka (kos)";2.28;2.19;2.28;2.34;2.44
"...Otroške plenice, 7 - 20 kg (50 kosov)";9.44;9.49;9.58;9.36;10.16
"...Gel za prhanje, 200 - 300 ml (l)";6.38;6.60;6.87;7.13;8.03
"...Toaletno milo, tekoèe, 250 - 500 ml (l)";3.58;3.62;3.60;3.64;3.96
"...Deodorant, roll-on (50 ml)";2.46;2.46;2.61;2.52;2.84
"...Šampon za normalne lase, 200 - 400 ml (l)";8.37;8.45;7.41;7.38;8.36
"...Zobna pasta, 75 - 100 ml (l)";23.38;23.76;22.18;22.34;25.07
"...Toaletni papir, troslojni, zavitek 8 - 12 rol (10 rol)";0.30;0.32;3.11;3.13;3.84
"DRUGI IZDELKI IN STORITVE";-;-;-;-;-
"...Obvezno zavarovanje avtomobilske odgovornosti, za osebna vozila od 60 - 80 kW, brez bonusa/malusa, premija (storitev)";383.19;385.56;405.32;394.09;401.53
"...Èlanarina za uporabo plaèilne kartice, letna èlanarina (storitev)";20.83;21.40;21.41;21.96;22.69
"...Pogrebne storitve, pokop s krsto, pokop (storitev)";192.74;203.20;212.02;212.58;212.58
